PropertyRoomTypeID|RoomType
13008|Double
13014|Double
13023|Double
13033|Double
13046|Double
13052|Double
13057|Double
13061|Double
13066|Double
13075|Double
13103|Double
13113|Double
13121|Double
13128|Double
13143|Double
13148|Double
13156|Double
13169|Double
13176|Double
13182|Double
13190|Double
13191|Double
13200|Double
13205|Double
13208|Double
13213|Double
13227|Double
13236|Double
13243|Double
13249|Double
13283|Double
13288|Double
13294|Double
13297|Double
13306|Double
13319|Double
13324|Double
13333|Double
13339|Double
13342|Double
13357|Double
13378|Double
13386|Double
13399|Double
13405|Double
13494|Double
13515|Double
13519|Double
13531|Double
13534|Double
13538|Double
13543|Double
13566|Double
13582|Double
13628|Double
13635|Double
13649|Double
13654|Double
13665|Double
13672|Double
13681|Double
13687|Double
13692|Double
13714|Double
13723|Double
13728|Double
13758|Double
13765|Double
13775|Double
13800|Double
13819|Double
13829|Double
13836|Double
13841|Double
13848|Double
13855|Double
13860|Double
13864|Double
13872|Double
13882|Double
13890|Double
13906|Double
13910|Double
13915|Double
13920|Double
13947|Double
13969|Double
14059|Double
14065|Double
14082|Double
14089|Double
14091|Double
14096|Double
14105|Double
14110|Double
14118|Double
14123|Double
14129|Double
14135|Double
14136|Double
14149|Double
14158|Double
14163|Double
14170|Double
14190|Double
14195|Double
14204|Double
14226|Double
14236|Double
14240|Double
14254|Double
14263|Double
14276|Double
14282|Double
14293|Double
14303|Double
14314|Double
14319|Double
14327|Double
14331|Double
14336|Double
14411|Double
14415|Double
